,title,reviews,stars
5700,Great Meal,"This was a great Meal and the cocktail was fantastic , we would recommend this place and will visit again",5
5701,Anniversary dinner,Great experience fantastic service and a lovely surprise at the end for our anniversary. The cheesecake was one of the best I have ever tasted,5
5702,"Great food, good atmosphere","Really enjoyed our visit, great value with groupon voucher, well worth it. Will definitely be visiting the next time we are inLondon.",5
5703,Superb restaurant,"Another fabulous meal with wine & cocktails. We keep returning because the food is such a high standard, & the staff so welcoming, we will be back 1st Class",5
5704,Birthday Meal,"Good food reasonably priced, the atmosphere was lacking, but that could be because it was a Monday evening",4
5705,Wonderful evening,"The food was some of the best I have ever had, the staff couldn't have been more welcoming or helpful.will certainly recommend this to my friends.",5
5706,Visit here - you won't be disappointed...,"Not a fluke - have been here more than once.  Amazing food, wonderful service and atmosphere.  Bar staff are very well trained.",5
5707,mmmm,"Excellent venue, service and staff nice, food very good quality. The atmosphere and quality of service, food and venue made the whole experience great,we went on a virgin voucher the only thing is just watch when they keep offering things you just keep saying yes...More",4
5708,Top class!,"A fantastic evening! Beautiful food, gorgeous wine and the best service we've ever had in a restaurant. Can not fault it.",5
5709,Virgin Special Offer,Terrific service and great set menu. Would definitely visit again. Crab starter and boeuf bourginion top quality. Sticky toffee pud was 100% British. We wrre on special price but treated like royalty. And the matre d'hotel was as good as it gets. The whole experience...More,5
5710,Excellent service,"This was an excellent finish to a great day out in London. Meal was first class, waiters and staff could not be better.",5
5711,Nice vibe,"Had our anniversary dinner here with the virgin experience, it was very busy but nice ..  they even writ happy anniversary on our dessert bowl. Very polite and charming staff.

(I did notice they weren't to each other.. I could tell by their body language...More",4
5712,Fantastic lunch in London!,My wife and I came here for lunch after having been given a gifted lunch experience for my birthday.  The restaurant is tucked away down a little side street off Liverpool St but we found it ok.  Inside the decor and ambiance is fantastic and...More,5
5713,Lunch,"Loved everything, the decor , the menu the excellent waiter and best of all the taste was truly wonderful. My non alcoholic cocktail was sublime",5
5714,GREAT SERVICE AND SCRUMMY FOOD,The food and service were excellent.   The special offer made it affordable although side dishes are extra so be warned!  Special thanks to Peter who was friendly and informative.,4
5715,Virgin experience day,"Just a restaurant nothing special, decor a little tired the staff are attentive. Don't bother dressing to smart there was a member of staff walking around in track suit bottoms and trainers. Food was ok",3
5716,Excellent,"We had a really good time here. Food was amazing and my boyfriend was offered a celebration of his birthday but he being a bit shy , we decided not to openly declare it. He still was treated to his ""secret happy birthday"" message on...More",5
5717,Excellent meal.,"Friendly and helpful staff, excellent food and lovely atmosphere.  It was a very enjoyable evening and I certainly wouldn't hesitate to return.",5
5718,Virgin experience,"Excellent venue, service and staff superb, food very good quality. The atmosphere and quality of service, food and venue made the whole experience great.",5
5719,Great evening out,"The staff were great during our visit. We were welcomed immediately, even though we were a bit early. They didn't treat us different because we had booked using a voucher, which would have been a shame. Staff were attentive and always smiling. The atmosphere was...More",5
5720,Anniversary Dinner,"Excellent food and service.. definitely recommend this restaurant for any kind of occasion, will be going back on our trip to London x",5
5721,Special occasion,Another wonderful celebratory meal. The staff are always delightful & the cocktails & food superb. We keep returning.,5
5722,Awful staff awful service!!,I would not recommend this to anyone! I had booked a virgin experience day for a friends birthday. We arrived and all was well until the birthday treat at the end where they did not have the sparkler candle that was listed on my booking....More,1
5723,Wouldn't go for the set menu ,"We went for the set menu and as you can expect it was limited with everything an additional cost extra. 
It was quite busy but good service. Steak was good and in central location to the city.",4
5724,A Pleasant Experiance,"Afternoon meal at London City steakhouse is to be recommended, all staff very attentive and professional, from the moment we walked we were made to feel welcome, food was extremely well presented and well prepared. 
All in all a good dining experience.",5
5725,Amazing dining experience,"Upon arrival you are made to feel very welcome, we arrived early and our table was ready and we were seated. The choices on the menu were great and when the food arrived it was simple great. No complaints. Staff were all happy and attentive....More",5
5726,"Quality, Quality, Quality",Excellent from entering the restaurant to exiting. Service and food beautiful done. Belly Pork with cannelloni beans well worth trying.,5
5727,"Great food, lovely atmosphere",We had a superb meal. Food was very good and the service was excellent.  Staff were very efficient and charming. We would definitely come here again!,5
5728,Shard and London Steakhouse deal,"Booked for husbands birthday, staff all very attentive, meal nice but not spectacular as expected from its reputation. Good value and had a great day.",3
5729,Birthday lunch,"I loved the 3 course meal, it would be nice though if the sides would be included as well. The food was excellent and the staff was very friendly :)",4
5730,KP,"Overall was good  experience.Staff very polite and helpful.Very good service.Great cocktails and wines.Unfortunatly didn't really enjoyed the steak,no flavour to it.More spices would be great.Starter was nice but avarage.Pudding was nice.We expected a bit more but it was just an a avarage experience.But for that...More",3
5731,Fantastic experience,Impeccably polite staff who could not do enough for us. Food was delicious and the mojitos were to amazing. Would definitely recommend.,5
5732,Buy a gift,Loved it here brilliant service great food highly recommend would love to go back better start saving.,5
5733,Birthday experience day voucher,"We came up to London for my birthday and booked a table at this restaurant, the food was good but the service was amazing. Our waiter was awesome, he was attentive to us and had us laughing through out our meal. We even stayed for...More",5
5734,perfect birthday treat,I treated my friend and myself to a Red Letter day experience of 3 courses plus a cocktail for £50.  Even though we got held up and were 30 minutes late the staff were still very friendly and it wasn't a problem.  The cocktail we...More,5
5735,Bit disappointed!,"Had dinner as part of an experience which my sons had paid for, was a chance to try fine dining. Had to order supliment side dishes or would have been just steak and sauce? Opted for 14oz ribeye which had an unusual taste probably due...More",2
5736,POOR CUTS OF MEAT,"Staff friendly, pleasant surroundings, service reasonable, but food very average and the rump steak was of poor quality. My wife asked for well done and it was served like a burnt offering, a second steak was cooked correctly but lots of fat running through the...More",3
5737,TOUGH STEAK,"My wife and I ordered the rump steak. My wife's was tough and mine was very tough, so much so my aching jaws could only manage half of it.  In the few tables adjacent to us we noticed 2 other customers who were unable to...More",2
5738,Great Treat,"Part of a days out gift.  Food great and included a cocltail, main course and dessert.  Expect to pay for side orders and other drinks to make up a meal.",4
5739,Great,Recently visited restaurant and enjoyed the Great atmosphere & brilliant food. Will definitely be back.,4
5740,Perfect Lunch,"My wife and I visited the city restaurant three days ago for lunch. We found the whole experience very enjoyable. All the staff were very friendly, attentive and the service was first class. We both thoroughly enjoyed the food and found the cocktails an excellent...More",5
5741,Just what we needed!,"This was a very welcomed relaxing meal.

Service was second to none. Me and my partner run our own business so work 7days a week, so to get a few hours to ourselves makes all the difference. So thank you to all the staff for...More",5
5742,Amazing,Great food. Great service. Really impressed. We pre paid with a voucher however paid more to upgrade out steaks and it was the best decision. Fillet just fell apart. Would really recommend and can't wait to go back!,5
5743,London day out,The restaurant was a great end to the day in the City. The food was good and the staff very attentive.,5
5744,Voucher lunch,Although we enjoyed the food and was surprised that we were full afterwards thought it a bit of a rip off when a portion of chips or potatoes was an additional  £4.95,4
5745,overpriced and small portion sizes ,we were treated to a Red Letter experience and attended this restaurant last week ! all i can say is i am going to be complaining  to RLD about this establishment. We were meant to have 3 courses each with a cocktail and therefore so...More,2
5746,Good bits poor bits,"Friendly staff and overall good service.

Things were generally served more warm than hot. Steaks were good but  fried eggs not fully cooked. Cheddar cheese was poor. Both were mentioned but nothing done other than ""I'll tell the chef""

Hoped for better, overall a disappointment",3
5747,Great experience,We came here for my birthday. The staff were attentive and the food was great. Would come here again and recommend to anyone looking for a a quality Steakhouse.,5
5748,birthday treat,"The staff were very welcoming and friendly. We had the set menu which had very good choice.
The cocktails were lovely,the food was excellent .I bought a bottle of posh red sauce,lovely.
The overall meal and restaurant were very good.Go and try for yourselves.
Karla...More",5
5749,"Great food, but access issues!","We pre booked our table a week in advance, informing them that my partner is in a wheelchair! When we arrived, I had to notify the staff that we were here so they could open the accessible entrance! No problems there. However, when they opened...More",3
5750,"Nice food, expensive for what it was","Excellent service and good food.
Great cocktail and starters were good. We found the belly of pork was a little salty and top crackling soft. May of been better to cook the crackling separately to the meat.
The wine was expensive and overall  was expensive...More",3
5751,Excellent Quality,We visited as part of a Virgin Experience which made it excellent value.  The food was amazing and the service was very good too.  Everyone in our party really enjoyed their food and all plates cleared which says it all.  The steaks were cooked to...More,5
5752,Great Meal on a Voucher,"We arrived and were shown to our table by the Maitre d
Were shown the voucher menu which looked very nice.
The food was delicious and there was no delay in the order being carried out.
We chose to have the cocktail at the end...More",5
5753,Food was amazing,"The food was mostly amazing. We started with the crab salad which was tasty, then the mains we chose were pork belly and fillet steak. The steak was the best ever as were the potatoes and beans as added extras. The pork belly itself was...More",4
5754,Great food,I recently visited the London Steakhouse Co in the city  of London. On arrival we were greeted by a member of staff who took our coats and shown straight away to our table which we had previously booked after being advised to by a friend....More,4
5755,Lunch was perfect,"Hi, my wife and I have just been to this restaurant for lunch with 2 really good friends and we all agreed that the service was absolutely first-class, attentive and friendly but not obtrusive.

The menu gave a really good choice of dishes and the...More",5
5756,Fantastic Food,"Top notch food, very good service.  Everything on the sample menu for the 3 courses for £25 deal was on the menu and our waitress was very good helping us to choose our dessert.  I am so pleased with this deal that I am going...More",5
5757,Sunday Dinner,"Had the set menu on a deal, chose to go for the a la carte which was a great choice

Fillet steak, sides and desserts were truly excellent

Will definitely be making a second visit",5
5758,Amazing!,The staff were so welcoming. Had an amazing night out create for birthday celebrations and couples night outs,5
5759,A good meal in a vibrant area,"The venue was excellent, as were the staff. The Virgin meal deal was good and was enjoyed with an inclusive cocktail. Within 5 minutes walk are well known markets and eating areas which provide much to see after the meal.",5
5760,Very enjoyable dining experience,"Thoroughly enjoyed my experience here..lovely ambience and decor, attentive, prompt and friendly staff, exquisite food from a substantial set menu. the chicken liver parfait was deliciously light and airy, the boeuf bourgignon was succulent and tasty and the sticky toffee pudding was indulgent and so...More",5
5761,"Overrated, pretentious and overpriced","When we arrived, a little early, the snooty desk clerk told us we would have to wait, which we had expected. We were ushered into a small corner of the bar and were not even given menus to look at. The restaurant looked nice and...More",2
5762,"Steak, 3 courses deal","Got a 3 course deal through one of the affiliate marketing companies. £25pp with a glass of champagne.
Had to wait a little while to be seated, but was stood by the bar so cant complain. Nice waiters who provide a good service.
Starter was...More",5
5763,"Beautiful restaurant, polite, friendly staff and amazing food","I really loved my visit to the London Steakhouse because as soon as you walk in, your welcomed and efficiently taken to your table. The staff were quick, efficient and polite. Their uniforms and the interior of the restaurant is really beautiful and glamorous. As...More",5
5764,Get it on tablepouncer!,"Good steaks and wine, although service was remarkably average. I would have felt Conned out of a couple hundred quid for a few steaks, but the 50% off made it pretty good value",4
5765,Fantastic meal and excellent service,"My partner found this restaurant as part of a voucher experience and it was an excellent choice. From arrival the service was fantastic, a warm welcome followed by attentive service. The food was delicious and beautifully presented. Couldn't ask for more. 

One to visit again!",5
5766,Not what we expected!,We were offered a different menu simply because we were paying using a birthday voucher..not a warm welcome to start off with. During our main course the waitress interrupted us to advertise their 'posh ketchup' and would we be interested in buying a bottle! Does...More,2
5767,Sunday lunch,The service and atmosphere at the Restaurant was excellent. The standard of food was very good although I was a bit dissapointed with my crab starter. I thought the crab meat was tasteless and was overpowered with strong fresh herbs. I thought it was quite...More,4
5768,Amazing Food!,"We went while we were in London as we'd got a voucher off of Virgin Experience Days, and it was amazing! Service was wonderful, food was gorgeous and cooked to a brilliant standard. Would definitely go back!",5
5769,Voucher for meal and cruise on the Thames,Excellent meal combined with excellent service in a relaxed atmosphere. Upgraded to VIP package which was worthwhile. This was our second excellent visit to this restaurant.,5
5770,"Great food, good atmosphere","We were bought a meal deal for two as a present and upgraded to include the VIP option. This is very worthwhile and made the meal a great success. Food was all perfectly cooked and presented, also great flavours. Service was attentive and efficient. The...More",5
5771,lovely food,"Food was amazing and staff lovely, food was cooked to perfection we will be returning soon, thank you, the buxom's",4
5772,40th Birthday,As a present for my 40th birthday celebrations this was a lovely lunchtime meal. The food was outstanding and the service was excellent!,5
5773,Disappointing,"Was expecting a lovely romantic meal for 2 full of luxury and an impressive steak. What we got was a wonky table, abrupt service and a steak that was average. Will not visit again.",3
5774,Always great food,"Second time my wife and I have been here for a special night out without the kids, we travel a good hour to stay and go out in the city and this place has fast become one of our favourites.
Excellent menu and great choice...More",5
5775,Lovely food and restaurant!,Visited London Steak House for a Virgin Experience meal - whilst it was cooked beautifully was a little disappointedthat the main course came with no accompaniments and we had to pay extra for those !,4
5776,Anniversary dinner / 40th birthday,Food was lovely however we brought this as a virgin experience view from the shard + 3 course meal and a cocktail. However we was unaware that sides were not included therefore had a hefty bill at the end of the meal as we otherwise...More,5
5777,Dont waste your time or hard earned cash,"This visit was part of a Shard experience and purchased as a present, if only i knew before booking it what i know now! 

I would have been better of just going to shard and then choosing a restaurant of my choice as there are...More",1
5778,Great dinning experience,"We booked this via a Virgin experience voucher along with a visit to the Shard and it was an amazing evening. We started here and was not disappointed. I would recommend to upgrade to the VIP package which includes sides, wine up to £30, bottles...More",5
5779,Love it!,"Excellent service. Quickly got seated in a well lit space, given menus and a wine menu to accompany; decided against the wine however and went for a cocktail which didn't disappoint! And on that note, neither did the food! Great quality as expected. Haven't got...More",5
5780,Another great evening,"Another superb meal at Marco's. The food is really delicious. I had the chicken liver parfait, pork belly and cheese. Have had several meals there now and have enjoyed every one. My fellow guests had a great time too. The staff were amazing - really...More",5
5781,Lunch with my son,"After a spectacular view across London from The Shard, we ventured on foot across the Thames towards The London Steakhouse restaurant in the City. We were warmly greeted and within a few minutes, enjoying our well deserved whisky based cocktails. Our individual choices from the...More",4
5782,restaurant of highest excellence,"We visited the London Steakhouse Co. City- on Thursday 7th Sept. and it was absolutely execeelnt in every way, service, food and hospitality. It is now my favourite London restaurant.",5
5783,Made to feel welcome,Extremely welcome. Service attentive but not over bearing. Food superb and staff willingly to discuss cuts and cooking.,5
5784,over rated mini portions,The meal was on a gift card and to be honest seemed a con for what you got in portion size. Extra nearly £5 per portion of vegetables. A limited special menu. My wife's pork was half  fat was was immediately changed. But why  in...More,4
5785,GREAT EXPERIENCE,"Great Food, Great Service & Great Atmosphere.
Would Highly Recommend This Resturant For Lunch Or Dinner",5
5786,Weekend trip,Excellent service greeted with a welcome and a smile staff attentive food was perfect pure wuality steak was best I have tasted would definitely recommend,5
5787,Dinner at City London Steakhouse,"Excellent service, very friendly attentive staff. The food and wine was great quality. We will go back again.",5
5788,Dinner,"A Casual dinner option for a unique experience. Order the steak cooked on 400 degree hot stone at your table. Butter, seasoning and finishing sauces you select.",4
5789,leisure trip,"this was a gift from our son, the restaurant was very nice the food was excellent, and the staff very polite and extremely helpful well done everyone, would definitely visit again if in the area.",5
5790,Thoroughly enjoyed,"We used a Virgin Experience voucher for our dinner here. The choices were good and the waitress who looked after us was very prompt and had good knowledge. The food was to a high standard, Small portions but very tasty.",5
5791,"London Steakhouse, City.","We couldn't fault the meal in any way, which was superbly prepared and presented by the very helpful staff. We will certainly recommend a visit to enjoy a superb meal in a friendly and superbly run restaurant. Excellent!",5
5792,Superb lunch,"Quality of the  food was  excellent, well presented, good selection of wines and cocktails.
Serving staff efficient but slightly distant.",4
5793,Wonderful service and Food!,Our waiter was so accommodating and personable and helped us with our order to make sure we had enough variety and the food was delicious!,5
5794,Great food in a lovely restaurant,We visited this restaurant as part of a package deal with The View from the Shard. We had the three course meal and cocktail deal. We did have to pay additionally for a couple of sides and a service charge but all in all it...More,5
5795,Interesting & enjoyable experience,The food was imaginative and tasty and the service was attentive but discreet. The staff were pleasant and made us very welcome treating us as valued customers.,5
5796,Lunch visit,We had a fabulous 3 course lunch which included a cocktail.  My husband and I enjoyed every dish that we had and the waiting staff were superb too.  We would definitely recommend a visit and we look forward to returning!,5
5797,Good but pricey,"Nice place , food good and service good.  Not the cheapest place and 12.5% discretionary tip a bit over the top.",4
5798,Very Nice Meal,"Purchase Virgin Experience Tickets and enjoyed a wonderful meal , very attentive staff , very good indeed",5
5799,Midweek dinner,Posh chain of restaurants.Miniscule starters but tasty.Delicious steak cooked perfectly.Puddings obviously microwaved but good.Service  dodgy.Enjoyable evening,3
5800,Excellent Food At A Fair Price,"My experience with eateries fronted by well known chefs has been mixed with establishments from the Galvin brothers and Gordon Ramsay having both been disappointing.

I've wondered if sometimes the 'celebrity' name has caused my expectations to be too high. Thankfully this Marco Pierre White...More",5
5801,Celebrations,"Original contract via telephone impossible - no response to left messages - poor.
're the visit - service good, food choices reasonable, limited cocktail choices.
Floor manager could have been a little more discreet rather than""marching"" around the floor.
Overall good value for money and...More",4
5802,"More than a Steakhouse - Elegance, Style, Excellent Food","This was a meal to savour for so many reasons.  The restaurant is elegant, the service staff were fabulous, and the food, seemingly simply presented, yet with both complex and perfectly balanced ingredients to eat.  Its great to visit a restaurant that has a 1...More",5
5803,marco pier white city steak house,"Sunday lunch for 4 persons, service was excellent with attention to detail. Food served on time and cooked to perfection. very satisfied with overall experience.",5
5804,A real treat,"First class service, nice surroundings and food was delicious.  Definitely recommend a visit if you have a special occasion.",5
5805,Good but not great,I visited the Steakhouse on Monday 4th September with my partner using the £49 set menu. There was a good selection of dishes to choose from for all 3 courses and the passion jazz cocktail was lovely. For starters we had the English asparagus and...More,4
5806,Fantastic,"Was brought a virgin experience for this restaurant , great food and service was serinaded by the waiters singing happy birthday to me",5
5807,Outstanding service and food,Going on a Monday lunchtime I was very surprised to see that nearly all covers were taken. But then having experience the service and food it was clear why it was so popular - they were both outstanding. It's certainly not the cheapest meal you'll...More,5
5808,Great meal,"Excellent food 
service was prompt and waiting staff where very pleasant.
All round great Experience.",5
5809,Virgin experience deal,"We had lunch as part of a deal incorporating the View from the Shard and thought the restaurant excellent.
Often with 'posh' restaurants, if you're on a special deal, you can feel a bit patronised. None of that here, the staff were very friendly, helpful...More",5
5810,Fantastic experience ,"We had an amazing three course meal and every course was beautiful! Steak cooked to perfection, full of favour. We had short rib for starters and cheesecake and creme brûlée for desert again very very good! 
We loved every minute and we were made to...More",5
5811,City Steakhouse,First visit to the City Steakhouse but we will definitely visit again. Food and service where excellent and it was a thoroughly enjoyable evening,5
5812,Birthday treat,"Excellent service, superb food, great location, what more could you ask for! Definitely worth a visit!",5
5813,Wonderful,"I absolutely loved the experience at the London Steakhouse. All the staff were attentive, super polite and quite funny. Pete our waiter made us feel like he was only there to serve us (he wasn't obvs). The food was impeccable and so was the prosecco....More",5
5814,Nice enough...,"We dined here a couple of weeks back and after being reminded to write a review, have decided to. However, thinking back on our experience it's difficult to remember exactly what is was like and I think this about sums up how I feel about...More",4
5815,Great food and service,"Took my sons here for their birthday, they thought it was the 'best meal out' they have ever had! The fillet steak was certainly very good.",5
5816,Christmas present,Brilliant meal would recommend to my family and friends food was excellent loved my cocktail easy to find from Liverpool st station,5
5817,Average at best and not worth it.,Very disappointed overall for a supposedly a l la carte meal for four. First a frosty welcome. No offer to take my jacket even though I could see that they had a cloakroom. This ended up on the back of my chair. Starters very small...More,3
5818,Our second visit.,"This was our second visit to this restaurant and once again our experience was by way of a Buyagift voucher.

On entering the restaurant, we were once again given a warm welcome and shown to our table. The restaurant was quite busy on this occasion...More",5
5819,Good Steak,"Food very good, However very pompous. Extras overpriced. Felt that we were being looked down upon just because we were on the set cost Red Letter Day option. Even though we didn't take the after dinner coffee that was included in the package (& therefore...More",3
5820,Wowcher experience at London Steakhouse,"Service was excellent and have to say that it was the best steak I have ever had.  Also, must buy the Tomato Ketchup - fantastic!!!",5
5821,Excellent Atmosphere,"went there on a Friday night and it was busy but not overly so. The tables are laid out quite sensibly and afford a lot of room.
The food was well presented and cooked and was very generous, would i go again, yes. although i...More",4
5822,Another Great Evening,"I have been here several times now and it never fails to impress. The food was exceptional, the cocktails were temptation itself and the service was very attentive. Thank you to all concerned for making that evening a special one for my lovely lady.

Dr...More",5
5823,A great meal was for my Birthday celebration,Had a lovely day in London see the sights. Visited Diana's flowers at Kensington palace and then on convent garden,5
5824,Perfect 😀,We came here using a gift voucher and were pleasantly surprised. The service was great and our courses were spread out with good timing in between and we didn't feel rushed. My steak was cooked perfectly and the cheesecake was fantastic. Overall a pleasant experience...More,5
5825,Amazing meal! ,"Went as part of a package . Would definitely recommend the upgrade to include wine , tea/coffee, side orders etc . 
Service was excellent ! Meal wonderful . The vodka cocktail was amazing. Will certainly revisit and recommend to others. 
Lovely relaxing evening",5
5826,Best meal I've ever had!,"The food was cooked too perfection, I have no complaints! Very welcoming staff and I can't wait to return!",5
5827,steak out,"Fabulous attentive service, the steak was excellent and cooked to perfection.The restaurant itself was very comfortable and spotlessly clean we will be back again. Thank you all for a wonderful evening",5
5828,Excellent service.,"Wonderful restaurant, easy to find. Nice atmosphere and a great menu. Staff were very friendly. Will definitely be back!",5
5829,Virgin experience,"Treated like VIP's So much so we left a generous tip although we were not expected to. Food was far better than we expected, and staff were really considerate and kind. As we were new to London, we did not get there until late. Whilst...More",5
5830,London Steakhouse City,"Deal bought for me and my wife, 3 course with cocktail. Food good service good. As expected with this sort of deal there is a limited menu. Just about enough to get by. The main issue i have with the deal and the reason i...More",3
5831,Dinner for two,"Very good service. Food was fine, our table was ready for us when we arrived  and it was busy for a Friday night.",4
5832,Great meat,The quality of the meat is superb. Given that quality it is good value for money. It would have been 5 stars if starters and sides were not so expensive. Great experience though.,4
5833,Great meal,"Lovely food, great service, nice atmosphere/music, I was given meal for 2 for my birthday and upgraded to VIP which I'd recommend if ordering a bottle of wine and sides as most meals require sides ( we had two sides each), staff were really friendly...More",5
5834,Underwhelming!,"Great service.. Attentive, knowledgable and unassuming.. 
However the food itself was a big let down.. The starters were completely under seasoned and not particularly interesting. The steak itself, the showpiece of a restaurant like this, was only so-so.. We felt that £4.95 for a measly...More",3
5835,Lovely steak,Definitely worth a visit.  The whole meal champagne and red wine were all very pleasing.  The streets around the area were not if the restaurant standard.  Do not dismiss the restaurant because of other surroundings.,5
5836,Brilliant food and service.,"Everything at his restaurant was beautifully done and we enjoyed every morsel. The steak was, as I would have hoped, top notch and the cocktail which was included on the menu was delicious.  Our only criticism was that portions were rather small (in particular the...More",4
5837,Lunch experience,We were given a lunch and cruise experience as a gift. Lunch was excellent- steak cooked to perfection,5
5838,Lunch at the Steak House,The visit was a present from one of our sons and his wife as part of a Virgin Experience package. This was the first time that we visited this restaurant and were impressed from the moment that we entered the door. The staff were not...More,5
5839,OK,"Pleasant staff restaurant itself was ok , we had  the rump steak which was very tasty but quite gristley -  wouldn't go back!",3
5840,Amazing food and incredible service. Defiantly recommend,Amazing food and incredible service. Defiantly recommend. We had a VirginExperince and was lots to choose on the menu that we can have. Food was Devine,5
5841,This was part of a virgin experience which was a Xmas present for my mum and dad. The staff were very friendly and the m,Was my mum and dads Xmas present the staff was very friendly and helpful and we all enjoyed our meal the gifts at the end of the meal was a added bonus,5
5842,Superb and wonderful experience,"From booking a table to actually eating, the whole experience was amazing. The food was some of the best I've tasted. The service was impeccable and our waiter was very attentive. We will be going back ourselves as well as recommending to friends and family....More",5
5843,Just average and overpriced,"I was so looking forward to this meal as someone had bought it for my birthday, but how disappointing it was.
The food was nothing exceptional and such meagre portions, but with a premium price.
When did it become okay to serve a small piece...More",3
5844,Good experience ,"Arrived early having booked via Virgin Experience website. We were immediately seated, but it did take some time for our order to be taken. The food arrived very quickly and all three courses and the drinks were very good.
We would go again.",4
5845,Christmas voucher present with £60 bill,"After spending a great day on the Thames, We went back to our hotel to change for this next experience. Upon sitting we were offered water by the bottle, i did not see any tap jugged water. The cocktails in the price where good. The...More",4
5846,Fabulous atmosphere,"Excellent service, the meal was first class and the ambience and lovely jazz music rounded off a lovely evening.",5
5847,Lovely afternoon,"Bought a voucher, river Thames boat and then on to this restaurant, even though I worked out port times and booked the restaurant accordingly, my group decided to drink from the start, anyway, we went on to be late for the meal.  The restaurant were...More",5
5848,Very good experience but something was missing,My wife and I visited the restaurant on a Saturday early evening (18.00). As we were given a gift voucher (Virgin experience) we knew that our reservation was for a limited time. We were well received in the entrance by the host and ushered to...More,4
5849,Amazing experience,"amazing food, ambience and waiting staff contributed to an over all fantastic dining experience. Fully recommend for a special occasion or nice meal out with family or friends",5
5850,Tasty but slow,"I came for lunch with 5 work colleagues. The food was great, and the lunch deal seemed like good value for such a nice restaurant. The only criticism we had was that the service was very slow. The restaurant wasn't busy. It was a Tuesday...More",4
5851,Great Food,From the moment we arrived it was a great night & great food. Excellent Service & atmosphere would recommend,5
5852,Fantastic ! ,After finding a 3 courses & a cocktail voucher for £25pp my boyfriend and I decided to go to the London Steakhouse on the 29th August. I was unsure initially what to wear as I had read many reviews saying the dress code was smart...More,5
5853,London steakhouse,Steak was nice chips was a disappointment at £4.75 a portion when you go to these up market restaurant you expect to pay more but you want the food to sent a tinkle in your balls i am afraid to say it doesn't tinkle,3
5854,Excellent,"Great welcome, very good food and cocktails to die for!
Very friendly and efficient staff with a vibrant atmosphere.
Very impressed with whole evening.",5
5855,Delicious food and well looked after,"The restaurant was lovely with a wonderful ambience and service and helped compliment the delicious food on offer. The staff were always ready to help, and always with a smile on their faces",5
5856,Very nice,"A very nice quiet and intimate restaurent with friendly and atentive staff.
Food was great and the staff were happy to jelp us pick our wine from the extensive wine list.",5
5857,Very Enjoyable Meal,"We went for the set menu but chose to have some of the extras, although I would imagine you could still have a good meal without.

The service was very good and the staff were very attentive. The food was served  at the right pace...More",4
5858,Fantastic Meal,"This was a very well presented lunch ,it was so nice to have a professionally made meal in lovely surrounding, you can tell the people here care about food and service. Well worth a visit.",5
5859,London steakhouse City,"We had a fantastic meal here, staff food atmosphere was brilliant.
Will most definitely recommend to our family and friends.",5
5860,virgin experience gift,"Great looking restaurant lovely friendly staff personal service, would definitely go back, even picked up some posh tomato sauce with a kick",5
5861,Good service but bland food,"We couldn't fault the service from the staff, however the food was in our opinion well presented but lacked flavour and was very bland, to the point that we couldn't detect any of the red wine flavour that is the trademark of beer bourginoin. The...More",3
5862,experience gift voucher,"The food from the set menu was well presented however I had opted for the crab salad and there was not a lot of flavor of crab evident, however the food was delicious staff were very attentive (possibly because it was lunch time and the...More",5
5863,Wonderful,We dined here as part of a Daily Mail Experience day. It did not disappoint. Food was 5 star and the service was exceptional. Definitely go back!,5
5864,3 corse meal.,I had the celery cream soup which was lovely.she had asparagus with poached egg which she enjoyed.i had 12oz sirloin with the bone.it wasn't as tender as I've had in less expensive places.but it was ok.she had beef wellington which was very nice.the cut of...More,4
5865,Good tasty food - but why charge extra for 'sides',"Nice atmosphere, good quality food.

Saw some reviews complaining about portion size, but we were happy with them.

Was on a ""virgin experience"" voucher.  Although expecting supplements to be charged for some steak options on the menu, was not expecting all sides to be charged...More",4
5866,Fantastic restaurant,The food was amazing! We chose from the set menu and all three courses were delicious. By far the best steak I've eaten,5
5867,"Great service, amazing food",Had a really great experience. the staff were very attentive and the steaks we had were amazing. definitely recommend.,5
5868,"Brilliant Time, Great Service Food was lovely","Had a great night, Waiter was amazing he sang happy birthday to my husband and made sure our glasses wasn't empty, Food was amazing definitely recommend and I will definitely go back.",5
5869,Family lunch,"Very expensive - we had a Virgin Voucher but due to having the children with us, just opted for 1 course. Still cost over £100 with the voucher.",3
5870,Superb,"Service was excellent, made you feel welcome and helpful if needed. Food was brilliant we had the porterhouse steak which was cooked to perfection and tasted amazing",5
5871,Menu had Less to offer than expected,"Ambience nice ,,,It was a set menu as it was a deal so was offered a cocktail on arrival but we're not familiar ones and didn't taste nice . No fish on the menu only fish cake ,, had to buy all sides separately which...More",3
5872,Lovely Experience,"Excellent service, staff was very friendly, Typical English food which was great . Lovely location and I would Highly recommend this to you.",5
5873,Such amazing food!,Vsisited here with a groups of friends we booked he three courses and glad dog champagne deal through book a table. Everything was excellent from service to setting to the amazing food. We all ordered the steak and they all came perfectly cocked to our...More,5
5874,Superb service,"Very friendly and professional service, great food. Unhappy about the 10% service charge although technically it is optional. I may have left a tip otherwise as service was so good but I feel the amount should be up to me not them.",4
5875,Virgin Experience,"Lovely restaurant and very pleasant and helpful staff. Food was lovely. Extras we paid for were fries to go with steak and water (£4.00).
Beef Bourguignon was really tasted and came with mashed potatoes so no side required.
The only thing that I would say...More",4
